level,lgd_code,name,name_local,parent_code,state_code
STATE,27,Maharashtra,,,27
DISTRICT,466,Ahmednagar,,27,27
DISTRICT,467,Akola,,27,27
DISTRICT,468,Amravati,,27,27
DISTRICT,469,Aurangabad,,27,27
DISTRICT,470,Beed,,27,27
DISTRICT,471,Bhandara,,27,27
DISTRICT,472,Buldhana,,27,27
DISTRICT,473,Chandrapur,,27,27
DISTRICT,474,Dhule,,27,27
DISTRICT,475,Gadchiroli,,27,27
DISTRICT,476,Gondia,,27,27
DISTRICT,477,Hingoli,,27,27
DISTRICT,478,Jalgaon,,27,27
DISTRICT,479,Jalna,,27,27
DISTRICT,480,Kolhapur,,27,27
DISTRICT,481,Latur,,27,27
DISTRICT,482,Mumbai,,27,27
DISTRICT,483,Mumbai Suburban,,27,27
DISTRICT,484,Nagpur,,27,27
DISTRICT,485,Nanded,,27,27
DISTRICT,486,Nandurbar,,27,27
DISTRICT,487,Nashik,,27,27
DISTRICT,488,Osmanabad,,27,27
DISTRICT,665,Palghar,,27,27
DISTRICT,489,Parbhani,,27,27
DISTRICT,490,Pune,,27,27
DISTRICT,491,Raigad,,27,27
DISTRICT,492,Ratnagiri,,27,27
DISTRICT,493,Sangli,,27,27
DISTRICT,494,Satara,,27,27
DISTRICT,495,Sindhudurg,,27,27
DISTRICT,496,Solapur,,27,27
DISTRICT,497,Thane,,27,27
DISTRICT,498,Wardha,,27,27
DISTRICT,499,Washim,,27,27
DISTRICT,500,Yavatmal,,27,27
SUBDISTRICT,4004,Achalpur,,468,27
SUBDISTRICT,4062,Aheri,,475,27
SUBDISTRICT,4228,Ahmadpur,,481,27
SUBDISTRICT,4292,Ajra,,480,27
SUBDISTRICT,4254,Akkalkot,,496,27
SUBDISTRICT,3950,Akkalkuwa,,486,27
SUBDISTRICT,4201,Akola,,466,27
SUBDISTRICT,3991,Akola,,467,27
SUBDISTRICT,3989,Akot,,467,27
SUBDISTRICT,3951,Akrani,,486,27
SUBDISTRICT,4177,Alibag,,491,27
SUBDISTRICT,3969,Amalner,,478,27
SUBDISTRICT,4129,Ambad,,479,27
SUBDISTRICT,4170,Ambarnath,,497,27
SUBDISTRICT,4188,Ambegaon,,490,27
SUBDISTRICT,4225,Ambejogai,,470,27
SUBDISTRICT,4047,Amgaon,,476,27
SUBDISTRICT,4009,Amravati,,468,27
SUBDISTRICT,4003,Anjangaon Surji,,468,27
SUBDISTRICT,4099,Ardhapur,,485,27
SUBDISTRICT,4050,Arjuni Morgaon,,476,27
SUBDISTRICT,4053,Armori,,475,27
SUBDISTRICT,4088,Arni,,500,27
SUBDISTRICT,4017,Arvi,,498,27
SUBDISTRICT,4215,Ashti,,470,27
SUBDISTRICT,4015,Ashti,,498,27
SUBDISTRICT,4300,Atpadi,,493,27
SUBDISTRICT,4113,Aundha (Nagnath),,477,27
SUBDISTRICT,4137,Aurangabad,,469,27
SUBDISTRICT,4232,Ausa,,481,27
SUBDISTRICT,4080,Babulgaon,,500,27
SUBDISTRICT,4128,Badnapur,,479,27
SUBDISTRICT,4145,Baglan,,487,27
SUBDISTRICT,3990,Balapur,,467,27
SUBDISTRICT,4074,Ballarpur,,473,27
SUBDISTRICT,4199,Baramati,,490,27
SUBDISTRICT,4246,Barshi,,496,27
SUBDISTRICT,3994,Barshitakli,,467,27
SUBDISTRICT,4115,Basmath,,477,27
SUBDISTRICT,4288,Bavda,,480,27
SUBDISTRICT,3971,Bhadgaon,,478,27
SUBDISTRICT,4070,Bhadravati,,473,27
SUBDISTRICT,4061,Bhamragad,,475,27
SUBDISTRICT,4039,Bhandara,,471,27
SUBDISTRICT,4010,Bhatkuli,,468,27
SUBDISTRICT,4166,Bhiwandi,,497,27
SUBDISTRICT,4036,Bhiwapur,,484,27
SUBDISTRICT,4102,Bhokar,,485,27
SUBDISTRICT,4125,Bhokardan,,479,27
SUBDISTRICT,4198,Bhor,,490,27
SUBDISTRICT,4291,Bhudargad,,480,27
SUBDISTRICT,4237,Bhum,,488,27
SUBDISTRICT,3965,Bhusawal,,478,27
SUBDISTRICT,4221,Bid,,470,27
SUBDISTRICT,4105,Biloli,,485,27
SUBDISTRICT,3964,Bodvad,,478,27
SUBDISTRICT,4067,Brahmapuri,,473,27
SUBDISTRICT,3984,Buldana,,472,27
SUBDISTRICT,4230,Chakur,,481,27
SUBDISTRICT,3972,Chalisgaon,,478,27
SUBDISTRICT,4058,Chamorshi,,475,27
SUBDISTRICT,4294,Chandgad,,480,27
SUBDISTRICT,4071,Chandrapur,,473,27
SUBDISTRICT,4005,Chandurbazar,,468,27
SUBDISTRICT,4013,Chandur Railway,,468,27
SUBDISTRICT,4148,Chandvad,,487,27
SUBDISTRICT,4002,Chikhaldara,,468,27
SUBDISTRICT,3983,Chikhli,,472,27
SUBDISTRICT,4065,Chimur,,473,27
SUBDISTRICT,4269,Chiplun,,492,27
SUBDISTRICT,3960,Chopda,,478,27
SUBDISTRICT,4158,Dahanu,,665,27
SUBDISTRICT,4267,Dapoli,,492,27
SUBDISTRICT,4083,Darwha,,500,27
SUBDISTRICT,4011,Daryapur,,468,27
SUBDISTRICT,4195,Daund,,490,27
SUBDISTRICT,4110,Deglur,,485,27
